baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
?|100133144	19.8131355874899	-0.333362480987308	0.582529428687426	-0.572267192987059	0.567140972049703	0.993837940684293
?|100134869	20.9996655613942	0.0395429315402385	0.451440145335675	0.0875928557723543	0.93020028062203	0.999267537942214
?|10357	303.002178196087	-0.047190761644166	0.251963574803597	-0.187291999174685	0.851431695727632	0.999171139645522
?|10431	2266.03723102725	0.0158288183778877	0.194449606284858	0.0814031906791283	0.935121311739186	0.999267537942214
?|155060	501.485034363547	0.237320248824915	0.376091801788754	0.631016809449663	0.528029533576446	0.993837940684293
?|280660	0.563410204292009	-1.23763064554969	5.64942616921231	-0.219071921373964	0.826594023004885	NA
?|340602	4.77067629215309	-2.81343000738279	1.68424043086069	-1.67044440676742	0.0948314699310462	0.984388965418089
?|388795	8.68234444027718	-1.12674920415981	0.93509794860472	-1.20495313441876	0.228221394584902	0.993837940684293
?|390284	9.21285963863828	-0.177149321685598	0.392736990342125	-0.451063500617241	0.651943782892496	0.993837940684293
?|391343	0.6675517838172	-1.78528612879668	1.93518729589645	-0.922539194310733	0.356247395940571	NA
?|553137	4.38868028020727	-2.78362890616487	1.60895200452067	-1.73008821788575	0.0836145149595377	0.977263651258396
?|57714	1143.43158699028	-0.16888990282371	0.445309183898021	-0.379264360427803	0.704491562396755	0.993837940684293
?|645851	33.1514555597134	-0.60968488288806	0.526238124660683	-1.15857224005042	0.246630589697729	0.993837940684293
?|652919	12.0136525052558	-0.0368456783490326	1.54485239543204	-0.0238506141156147	0.980971767289304	0.999365302513743
?|653553	3031.00163577757	-0.0265912028752946	0.406565008415716	-0.0654045535765952	0.947851898615176	0.999267537942214
?|728788	0.718259509612102	0.0662010638596724	1.10937395913974	0.0596742543975055	0.952415077197038	NA
?|729884	690.219185496972	-0.496413065052173	1.0269827317366	-0.483370410924781	0.628832753674376	0.993837940684293
?|8225	1688.08294304608	-0.00921788851922818	0.260216733864802	-0.0354238883192555	0.971741736539118	0.999365302513743
?|90288	8.9029323261997	0.295213156844436	0.648927197838509	0.454924925057468	0.649163250502653	0.993837940684293
A1BG|1	146.980624242282	-0.60555207952724	0.612348412895327	-0.988901198688583	0.322711484013109	0.993837940684293
A1CF|29974	0.634792095761118	-1.33910993214037	1.94796296769957	-0.687441165127375	0.491804764365763	NA
A2BP1|54715	1.22111980232602	-1.52228692178005	1.78083220708059	-0.854817717091724	0.392652068341114	NA
A2LD1|87769	211.501969485388	-0.0686616481977142	0.326475816769441	-0.210311590233966	0.833424489879483	0.999171139645522
A2ML1|144568	3149.89050650227	-1.58995621429294	1.03932094507355	-1.5298029177892	0.126065519171621	0.98884367547837
A2M|2	23945.3984254863	0.975929736691955	0.507808657479533	1.92184540833924	0.0546252127188699	0.948633055673472
A4GALT|53947	1979.60290500192	-0.223836906280451	0.44302682922161	-0.505244584563259	0.613387059258132	0.993837940684293
A4GNT|51146	1.50599064147851	-0.0115780335992304	0.952564865661443	-0.0121545881195091	0.990302280577614	NA
AAA1|404744	0.504558454364454	-0.544793890622072	1.50813442895142	-0.361236956178275	0.7179223176605	NA
AAAS|8086	1708.83442576019	-0.115318348234291	0.174015364974406	-0.662690609253108	0.507528725361196	0.993837940684293
AACSL|729522	7.22405253682413	-1.97681399508418	1.30475059118955	-1.51508955691057	0.129749725950546	0.98884367547837
AACS|65985	1574.03836787475	-0.254665713598786	0.242595905275086	-1.04975272896719	0.293831813899075	0.993837940684293
AADACL2|344752	8.00458945782301	-2.0512162480404	1.57419103650096	-1.30302879414162	0.192564931384378	0.99124398226082
AADACL3|126767	1.65853838051063	-3.13591922672546	3.97533407702864	-0.78884419924511	0.430203072812044	NA
AADAC|13	384.930384012444	1.13197237126934	1.13947697306815	0.993413994335835	0.320508244505479	0.993837940684293
AADAT|51166	397.872842855728	-0.285983100257734	0.411676542691188	-0.694679124509311	0.487256413326011	0.993837940684293
AAGAB|79719	2438.01354295405	-0.15180774756325	0.155025170930522	-0.979245800227406	0.32745854355901	0.993837940684293
