baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
?|100133144	22.9145816735404	-0.273494478272174	0.236047611487732	-1.15864115950349	0.246602484279399	0.487637046006603
?|100134869	20.0264965160131	-0.175149436940101	0.192758666754155	-0.908646235676072	0.363536892436344	0.604979409071325
?|10357	324.96812343561	-0.0345293459174243	0.110604091295447	-0.312188685906647	0.754897130067378	0.882060263728548
?|10431	3169.28347908298	-0.231013795308419	0.113774406926568	-2.03045484084588	0.042310327052028	0.176686189573868
?|155060	521.998414037435	-0.0939096909321369	0.161311034364213	-0.582165326149387	0.560455326384964	0.765448130940598
?|26823	1.12402545529361	0.21695577775631	0.410401830531379	0.528642324707472	0.597053593655019	0.78981480333382
?|340602	2.41090654585255	-1.7380719843096	0.709172736678505	-2.45084433511935	0.0142521573487715	0.0931814407666712
?|388795	3.97781265180855	-0.697504374226441	0.344593185994874	-2.02413861496616	0.0429558914328717	0.178020262094042
?|390284	17.3080115930245	-0.130280261705574	0.150907835331844	-0.863310121830917	0.387966980546236	0.627171909966753
?|391343	1.55618315341627	0.0936694276462745	0.759629714269694	0.123309325434074	0.901862156562941	0.957225307881253
?|553137	9.97755809616398	-1.28040706249662	0.483578341859741	-2.64777586517304	0.00810232237770591	0.0652261335006635
?|57714	2431.26912074664	-0.318862625568407	0.216189136947085	-1.47492436517036	0.140232878936418	0.35407230316114
?|645851	31.377329926917	-0.0959363418043766	0.221002812741318	-0.434095569257164	0.664219042841021	0.830645538244745
?|652919	53.9349841928294	0.123927262251486	0.564215632314914	0.21964521213818	0.826147476935532	0.919685349033957
?|653553	1174.24490364771	-0.610486476866302	0.216960401308759	-2.81381520859888	0.00489573624977804	0.0479459525507813
?|728788	0.821353546753365	0.729201777469441	0.510347793762339	1.42883301619409	0.153052233593532	0.372073126456708
?|729884	35.5137439338064	-1.26236790653213	0.452955624184453	-2.78695713030393	0.0053205517067616	0.0505815438247724
?|8225	1437.62477131012	-0.26714613452755	0.148281701872683	-1.8016122768602	0.0716064283588237	0.240983172361426
?|90288	115.083316083216	0.165751294739992	0.301288738101702	0.550141023472445	0.582222651061525	0.780283362519829
A1BG|1	432.259443068197	-0.0140649302528437	0.172527597760422	-0.081522784965538	0.935026205401901	0.973345632946383
A2BP1|54715	4.51919911060304	2.38497587714685	0.606841652976168	3.93014531130169	8.48945402324457e-05	0.00374692391875182
A2LD1|87769	251.777510653964	-0.109183048978127	0.142600297599602	-0.765657932108216	0.443879864235373	0.676513955543494
A2ML1|144568	910.32693584446	-1.92917690850252	0.634860685654078	-3.03874054906226	0.00237569356903287	0.0309781660718254
A2M|2	33805.5718199179	0.10649624088771	0.171720145711272	0.620173250183305	0.535143730701239	0.748026751073507
A4GALT|53947	994.179274998362	0.0789778532683427	0.229310723409067	0.344414129850588	0.730534864073963	0.869076577495868
A4GNT|51146	1.88949857802077	-0.412742319373708	0.325234498586262	-1.26906069672137	0.204419416786704	0.438058317616277
AAAS|8086	1926.59890991927	-0.0205227478461827	0.077011815924846	-0.26648829922684	0.789863169574841	0.90156585493989
AACSL|729522	4.04690061381697	-0.0602730558396354	0.519677430042874	-0.115981669311024	0.907667069513391	0.960536288630034
AACS|65985	2776.32542748202	-0.0345632975848206	0.12277794004284	-0.281510649003891	0.778318761483833	0.894630035694208
AADACL3|126767	0.400800312479131	1.0298267631512	0.963198960567984	1.06917345772874	0.284991516335664	0.529540917221127
