baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
?|100133144	11.4306831266282	-0.278791898368672	0.693769386830724	-0.401850966129031	0.687793711009324	0.949361003834016
?|100134869	11.2135920500308	-0.29531179857521	0.707525215032207	-0.417386959928725	0.676395391388277	0.94527690656417
?|10357	492.646716760569	-0.233095872478362	0.32844405486025	-0.709697341233783	0.477891841270667	0.885983347909578
?|10431	2114.64617989872	-0.059362429286828	0.283410546560512	-0.209457375553783	0.834091206710359	0.974466254555007
?|155060	412.074909081288	0.361507408445871	0.556781770283273	0.649280252587917	0.516157247381049	0.903010876461418
?|388795	7.10336864101606	-0.22014645318765	1.14974405472871	-0.191474313158849	0.848154003345222	0.97549947494066
?|390284	12.0466123421058	0.128016467069259	0.467099571360825	0.274066762031707	0.784033316256519	0.967005120131095
?|553137	16.6230168651669	7.26697302924067	2.24916379757859	3.23096656502482	NA	NA
?|57714	767.859528322893	-0.805355347255787	0.409680075121326	-1.96581526943257	0.0493199533292784	0.444753565430852
?|645851	11.1577185032591	0.103939262212587	0.579513883125098	0.179355948561719	0.857658218405052	0.976210096589683
?|652919	19.3088898242563	-1.93897856296072	1.27447931749902	-1.52138880273529	0.128162297123609	0.624863676354659
?|653553	646.975063195001	0.169388619243406	0.428823631373098	0.395007660144618	0.692837234751434	0.950321624484879
?|729884	4.23831220838296	0.135428110844071	1.68035203581675	0.0805950824335717	0.935763977133748	0.989552958441078
?|8225	1671.54009184815	0.32951579608637	0.332982395290712	0.98958924179365	0.322374930527686	0.811301268748027
?|90288	5.48875301409055	1.07561345222371	0.881249638862407	1.2205547722121	0.222254639506252	0.739572231797294
A1BG|1	5600.79906805792	7.9985050239999	1.21289098012645	6.59457870085405	NA	NA
A1CF|29974	437.461187322572	1.10899472118805	0.54659150119624	2.0289278533621	0.0424656392973899	0.415288245538677
A2BP1|54715	9.22706037367113	-2.06094686665267	0.950387762801598	-2.16853262144002	0.0301181853939875	0.361081964950732
A2LD1|87769	359.42210256656	0.504904484820146	0.210178604634386	2.40226394926566	0.0162939467541553	0.270508497447196
A2ML1|144568	2.42619203291025	0.403489821778602	2.00532179678828	0.201209512819754	0.840534753453232	0.975097517392519
A2M|2	27387.2423218946	1.14830971838478	0.74608640040415	1.53911090962487	0.12377722211964	0.617394840481725
A4GALT|53947	459.877921205893	0.0999403346480492	0.502337085751322	0.198950739419474	0.842301278448917	0.975097517392519
AAA1|404744	2.31390168092792	-0.0562177518964032	1.61453979107714	-0.034819675679159	0.972223531220709	0.994966584940775
AAAS|8086	1910.19313040902	-0.333629395900502	0.309582094014715	-1.07767665621075	0.281178079594872	0.788158126706478
AACS|65985	2079.46683773142	-0.230045544572825	0.338155819788907	-0.680294500672591	0.496318005931722	0.894439562153092
AADAC|13	726.221471902065	7.59176698265357	1.12424601548236	6.75276307685761	NA	NA
AADAT|51166	382.893728992563	-0.111588578901011	0.586593457464755	-0.190231543637215	0.849127694163751	0.97549947494066
AAGAB|79719	2229.56153052837	-0.465985853676782	0.233590151857201	-1.99488655652593	0.0460552540684337	0.430210593753141
AAK1|22848	1258.63893653326	-0.491917984389288	0.330319851532549	-1.48921713940894	0.136430198918524	0.634948413304741
AAMP|14	6648.06679180569	0.132690766292521	0.156589558503242	0.847379401033138	0.396783682302523	0.851466216907271
AARS2|57505	1100.6475289347	-0.00922811808770009	0.284333663773633	-0.0324552427778896	0.9741090082984	0.994966584940775
AARSD1|80755	1489.67194813752	0.744928018502842	0.321730639307469	2.31537792019533	0.0205922587952908	0.300030604116079
AARS|16	7248.08881473934	0.616281718032319	0.277610630257805	2.2199499978081	0.0264221620280137	0.338095007031728
AASDHPPT|60496	1686.35620891894	0.25964152103305	0.189749975691885	1.36833493699443	0.171207259735852	0.681824122171375
AASDH|132949	412.065694534229	-0.0747248420588	0.326360341263694	-0.228964223316655	0.818896723148706	0.972545050537768
AASS|10157	349.242600498175	1.55260001195353	0.550728521392136	2.81917487772171	0.0048147278943803	0.147883443059385
AATF|26574	3510.26297257916	0.265624200781052	0.176504724712063	1.50491269406172	0.132346524261815	0.630259057291031
AATK|9625	441.711026392434	0.679993451620214	0.622082527292073	1.09309202844875	0.274353395634355	0.784108389014931
ABAT|18	2582.91483760139	2.27147951777705	0.702018072793882	3.23564250808678	0.00121369284107757	0.0629989076895748
ABCA10|10349	21.3653421008019	-0.0240952385309202	0.727064188629627	-0.0331404556953011	0.973562581475839	0.994966584940775
ABCA11P|79963	202.136875499457	0.76070223554869	0.353952216802823	2.14916646777906	0.0316212063564513	0.368685874581619
ABCA12|26154	11.5734512862792	-0.917470579277923	1.37561315192048	-0.666953916511375	0.504801569887587	0.898518765243517
ABCA13|154664	81.1943694552748	-1.21457138386342	1.01445940370422	-1.1972597222013	0.23120533829856	0.748999330733022
ABCA17P|650655	6.91840071006129	1.04320944640646	0.853275266906347	1.22259426338318	0.22148298091632	0.739347419506276
ABCA1|19	1439.93497996468	0.711135137063302	0.486317099294752	1.46228692779788	0.143662599197263	0.644506095891379
ABCA2|20	3234.26090313217	-0.198324638562704	0.329786215719462	-0.601373341605677	0.54759135035214	0.913243280079637
ABCA3|21	576.043083240609	-1.08958235270028	0.822752890088516	-1.32431300555268	0.185399112971262	0.701667195249165
ABCA4|24	7.96553515789422	1.12575868852278	0.842531019029954	1.33616289857069	0.181496034924218	0.697525509016757
ABCA5|23461	754.460019397162	0.41343263037281	0.582999694324588	0.70914725067185	0.478233103631077	0.885983347909578
ABCA6|23460	202.97616663537	2.93037038546574	1.24299054178718	2.35751623761549	NA	NA
