baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
?|100133144	22.183599328248	-0.129518597999236	0.217060292322076	-0.596694110256959	0.55071162558858	0.783740500772204
?|100134869	20.0762158598894	0.111614256996216	0.190776174016796	0.585053440616695	0.558511783925976	0.788515653407764
?|10357	338.854046954324	0.167575312944001	0.119246856981912	1.40528075276165	0.159937809435942	0.441198291450831
?|10431	3098.09037394475	-0.418556931791849	0.113076606884292	-3.70153423705175	0.000214299732781432	0.0155464434783246
?|155060	557.579826969346	-0.184484329524972	0.163267148659179	-1.12995376620488	0.258495706574204	0.556216847963193
?|26823	1.13886922049008	0.011324683915167	0.402449916729445	0.0281393620532918	0.977551000114272	NA
?|340602	1.15994716974625	-1.34727629014161	0.66947269953888	-2.01244395935725	0.0441731585201415	NA
?|388795	4.35500339213411	-0.798099803050867	0.329260789011307	-2.42391389951829	0.0153542453275998	0.141896313539873
?|390284	16.3470839040054	-0.21779901781705	0.148636645333692	-1.4653117158833	0.142835891511384	0.417550449684816
?|391343	1.19118155876087	-0.368970915459454	0.672444137257367	-0.548701215485854	0.583210511908634	NA
?|553137	9.20641754518832	-1.68612836568584	0.447456915883995	-3.76824741294864	0.000164397719835658	0.0130237334341359
?|57714	2597.4829020917	-0.248298396389426	0.217870344730295	-1.13966128201981	0.254427443559215	0.55186650608649
?|645851	31.6281322323213	0.243832326546802	0.218682116406627	1.11500807909418	0.264846959639768	0.56255170272451
?|652919	58.7237971543612	0.05864428939202	0.556329107183589	0.105412944666703	0.916048144933119	0.968073214851804
?|653553	1181.03007728005	-0.447486517888252	0.216442142247315	-2.06746483490695	0.0386903744410706	0.219456016228933
?|728788	0.849036115215631	0.608630990381724	0.516504417541936	1.17836550804003	0.238650922268447	NA
?|729884	22.4911511790448	0.842356750081197	0.400558420128689	2.10295604274295	0.0354696121632816	0.210603266376283
?|8225	1456.19944640126	-0.131257920410441	0.138317776813084	-0.948959153586	0.342641386999196	0.631677963274223
?|90288	118.320639837406	0.042626035039053	0.285316367042912	0.149399193186285	0.881238648330607	0.954533440038307
A1BG|1	479.994509472864	0.0206502746683681	0.1847080668506	0.111799527873739	0.910982361879804	0.966347256968728
A2BP1|54715	4.51218310518292	1.72654788524254	0.683117351968095	2.52745429503184	0.0114892777269505	0.121648231611329
A2LD1|87769	239.435303558143	-0.043774636045397	0.149980859067728	-0.291868151159404	0.770387435427717	0.903869156465001
A2ML1|144568	429.769317419715	0.111948464626377	0.625541721412303	0.178962426956315	0.857967204293038	0.943732374077418
A2M|2	34799.2568776362	0.182330449525584	0.154323671752327	1.18148076348394	0.237411790861195	0.532537109184586
A4GALT|53947	1007.98795451311	0.207476476553552	0.231135321597349	0.897640720248667	0.369377122530861	0.652556414759076
A4GNT|51146	1.77925822962986	-0.242687706299621	0.352541839157903	-0.688394055239842	0.491204666411935	0.742683247522746
AAAS|8086	1938.80751449084	-0.022673766093303	0.0717908868460717	-0.315830700655896	0.752131014160542	0.896126480087724
AACSL|729522	3.81441414877965	-0.155482058225856	0.566886041829988	-0.274273922363546	0.783874123304556	0.910444530866352
AACS|65985	2750.86878052073	0.0191317564222637	0.122183677619644	0.156581932996162	0.875574342269118	0.951840373172443
AADACL3|126767	0.61118559696588	1.51801091055313	0.869147629494745	1.74655128661581	0.0807152034115945	NA
AADAC|13	7.68208722362413	2.56614526475619	0.560105045412999	4.58154284767068	4.61558008816643e-06	0.0011752545415085
AADAT|51166	209.811493357846	-0.279770101359141	0.259869007102834	-1.0765812532944	0.281667383019592	0.578802085722395
AAGAB|79719	4654.85270219813	-0.0307229127559564	0.110014343340461	-0.279262792678573	0.780043157949906	0.908343059617674
AAK1|22848	2492.05068151656	-0.00732848757821452	0.0956629472836255	-0.0766073781574669	0.938935889284254	0.975914915972337
AAMP|14	6862.94127669592	-0.0413863289170371	0.0811316465451271	-0.510113262572789	0.609972114168153	0.81984518009026
AANAT|15	1.06322591190479	-0.241558473020079	0.459415515306753	-0.525795200579567	0.599030509544044	NA
AARS2|57505	1347.71839040451	-0.0475892135650336	0.114965516301358	-0.413943372726554	0.678915578609159	0.858365473004479
AARSD1|80755	1403.062960316	-0.157721801757849	0.111798939846949	-1.41076294617613	0.158314523594128	0.439050664339353
AARS|16	8932.856896285	-0.37846161817246	0.130006479323147	-2.91109812482307	0.0036016088999263	0.0660068694814768
AASDHPPT|60496	2559.70375204398	0.265327862371537	0.112713697330384	2.35399839288222	0.0185726913839995	0.153872315757148
AASDH|132949	848.88586552658	0.0913465440881543	0.0895329011441264	1.02025672038828	0.307606723472656	0.603340526537412
AASS|10157	567.194687033672	0.216231486762373	0.177432500621247	1.21866899246349	0.222969851377273	0.517007741946759
