baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
?|100133144	17.1248188641527	-0.566025277448887	0.799802143132805	-0.707706627581392	0.4791274608248	0.873299796004648
?|100134869	13.1052138420447	-0.116035233143459	0.743141603910969	-0.156141484385741	0.875921499545786	0.975450081656872
?|10357	485.482173126471	-0.398825810749615	0.361964362629511	-1.1018372301967	0.270532441477273	0.776478859581751
?|10431	2152.89814903002	-0.264894830984925	0.303931017732056	-0.871562346487634	0.383447179601429	0.841979618373593
?|155060	363.744700911028	-0.742648067026067	0.518143538768305	-1.43328636074752	0.151776018172102	0.663615649058414
?|388795	5.92187088205458	-2.98914379129828	1.31977937558938	-2.26488142380873	0.0235199570066551	0.371824904480458
?|390284	11.7070183226204	0.446857274578899	0.594080817191431	0.752182635169835	0.451941234849197	0.865451777301912
?|553137	18.1521496240308	7.40170396664957	3.25933122736615	2.27092720877923	NA	NA
?|57714	871.10236004729	-0.933297760641342	0.434508924909245	-2.14793691714452	0.0317187671523543	0.412230102563397
?|645851	13.1567855449877	0.0584616442465504	0.610077110070223	0.095826647618071	0.923658253007563	0.986856786077313
?|652919	21.3357762461108	-2.35070526522239	1.45072607495954	-1.62036466139064	0.105153966346128	0.603508078114275
?|653553	631.965601512546	-0.0810855458719817	0.454865629591482	-0.178262635373891	0.858516721430523	0.972625432802873
?|729884	5.61172810095202	0.0938913423432076	1.57034455795766	0.0597902809720434	0.952322666390045	0.991053641025213
?|8225	1442.62567500293	-0.0204834417183921	0.358885212726451	-0.0570751900385624	0.954485299679744	0.991942292201031
?|90288	6.76715292671096	1.6500758450303	0.913169411913636	1.80697669403139	0.0707659131308514	0.540958799889818
A1BG|1	6333.89542767054	8.67975721620888	1.23188115239943	7.04593718257857	NA	NA
A1CF|29974	462.640612222252	1.21822228580044	0.530184643578091	2.29773212135861	0.0215770401794291	0.360377197222745
A2BP1|54715	13.9984483576603	0.628953974783839	0.999699669441418	0.629142925630121	0.529255490161852	0.887455876211651
A2LD1|87769	346.803162951926	0.244650523567018	0.343447402025035	0.712337674195551	0.476255699998424	0.873299796004648
A2ML1|144568	2.51795590884861	0.814675361111024	2.27471447027178	0.358144009614396	0.72023554553095	NA
A2M|2	28010.0630938516	1.59265343158855	0.759393887110449	2.09726922829036	NA	NA
A4GALT|53947	452.364986618113	0.160033314303364	0.598402833413976	0.267434085146875	0.78913495866545	0.960302495633865
AAA1|404744	2.70266145960707	0.0869826481896347	1.45983334126288	0.059583957792324	0.952486995493024	NA
AAAS|8086	1899.6588238796	-0.432569478508599	0.362406973950883	-1.19360141940101	0.232633918501392	0.746476241300587
AACS|65985	2036.78714803797	-0.149794102594864	0.439216517769368	-0.34104842722131	0.733067125157663	0.945543483915696
AADAC|13	823.537339337933	7.55351904040367	1.22166944170968	6.18294833488903	NA	NA
AADAT|51166	387.117950313535	-0.286348385369267	0.637097383310775	-0.449457795417732	0.653101446998131	0.92712475372196
AAGAB|79719	2442.39048398144	-0.147499362522362	0.235081814652113	-0.627438420707445	0.530371889566866	0.888422992101778
AAK1|22848	1601.59645899525	-0.846490344495587	0.472529050807004	-1.7914038153843	0.0732285171114711	0.542374752524232
AAMP|14	6577.59427951404	0.233680363942748	0.204989764688356	1.1399611307326	0.254302495026759	0.763496917118563
AARS2|57505	1086.05980600382	-0.422551094223005	0.266369819717165	-1.58633247066681	0.112663910210871	0.617089759210559
AARSD1|80755	1239.31672819672	0.031453619852452	0.340825811763144	0.0922864958194852	0.926470417355973	0.987028761204859
AARS|16	6080.76270728656	0.27962289577645	0.302374344592394	0.924757343925414	0.355092143485225	0.830825258238699
AASDHPPT|60496	1594.49318309685	0.166545591715787	0.275819866033372	0.603820145774547	0.545963224087148	0.891706344572634
AASDH|132949	455.384546046985	0.35669488462006	0.407019853907543	0.876357458231227	0.38083573781382	0.841167658672568
AASS|10157	274.648748748068	1.20462151694919	0.642794981511442	1.87403690383004	0.0609253388102707	0.518785568596907
AATF|26574	3250.82502183768	-0.0817742228796138	0.243113080269711	-0.336362908934777	0.736597216014576	0.946998694460744
AATK|9625	422.636429253887	0.678976018993568	0.704051172385576	0.964384473209463	0.334853203739832	0.822037337282555
ABAT|18	2505.95901368906	2.58066119321954	0.850053339370352	3.03588148377969	0.002398336152775	0.128964232245078
ABCA10|10349	21.1742066416698	0.263711785525462	0.772379778151781	0.341427614995948	0.732781688974219	0.94544635619611
ABCA11P|79963	191.435629306966	0.696259452719073	0.401090022045261	1.7359181591421	0.082578306454904	0.563664662452905
ABCA12|26154	85.9720055900659	5.29115051803583	1.43571542847278	3.68537553689467	NA	NA
ABCA13|154664	39.1434802887646	0.488652186284369	1.01056271284507	0.483544643071829	0.628709069461792	0.92071093767212
ABCA17P|650655	6.81065670621085	1.40197156081592	1.00649662284227	1.39292227017797	0.163643297187913	0.677090574293707
