baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
?|100133144	20.8829629428135	0.127468278690001	0.223713367995601	0.569783915159273	0.56882426636402	0.805891166527992
?|100134869	20.2387412937664	-0.021878495025326	0.187660749110326	-0.116585354844041	0.907188643715548	0.968630668141564
?|10357	335.674037980571	0.0958134687001028	0.119520095786035	0.801651538764059	0.422754555790614	0.708057242100786
?|10431	3298.49026282625	-0.223831707367101	0.120179843299947	-1.86247295071319	0.0625364547296838	0.299982351817127
?|155060	547.018904373032	-0.122538446695934	0.168793057054781	-0.725968525211112	0.467858065995757	0.741101864694675
?|26823	1.13318159086755	-0.0144851344005404	0.380573746573627	-0.0380613075151731	0.969638801071508	0.990277295445676
?|340602	2.46948515571139	-1.71027749421382	0.650216224487687	-2.6303211605668	0.00853042388393842	0.117451053073847
?|388795	3.68830340279424	-0.369710770153927	0.333418606169334	-1.10884864645544	0.26749548057956	0.579250781054405
?|390284	16.615494142091	-0.0572312756312972	0.158688843057654	-0.360650909846916	0.718360426435251	0.888225496941762
?|391343	1.48462025323096	-0.202505101815907	0.817583125876208	-0.247687477158829	0.80437622179552	0.92703037357212
?|553137	10.1919011817252	-1.30412667045539	0.471402512318547	-2.76648222352734	0.00566646741445534	0.0943386163048956
?|57714	2490.06958374314	-0.19640419360861	0.212590512135497	-0.923861519668523	0.355558420043837	0.653720250960927
?|645851	33.2427549123013	0.0826042788133531	0.229549044456157	0.359854596690034	0.718955872088885	0.888803675391379
?|652919	60.3733124765759	0.0398724458863725	0.548907579972678	0.0726396343230625	0.942092886383318	0.981382599562135
?|653553	1191.48367205317	-0.568281430390554	0.212878698757861	-2.6695081927241	0.00759624199217045	0.111053497187098
?|728788	0.839090939775038	0.487148739901162	0.493005860278897	0.988119572504834	0.323094091205639	0.627835901218185
?|729884	21.4812395896848	0.355562874449847	0.397730853136158	0.893978608011395	0.371333336887243	0.667764821561694
?|8225	1455.50301483143	-0.19861531544758	0.140425415499127	-1.41438296437737	0.157249489227636	0.455922124867186
?|90288	114.369566672678	0.46665795283729	0.296870548801064	1.57192404137738	0.115968168229837	0.396003305601295
A1BG|1	455.105937598538	0.0919096872721892	0.187162991470546	0.491067633350225	0.62337861278288	0.83796307600072
A2BP1|54715	3.75717503130848	1.83217374669987	0.671764915968375	2.72740314825569	0.00638349942116305	0.100805421660949
A2LD1|87769	249.758469825571	-0.223380496685988	0.147840637274762	-1.51095463874953	0.130800008442619	0.418719877071866
A2ML1|144568	487.390979725171	-0.0552284886104019	0.609988424384943	-0.0905402240478405	0.927857931026659	0.975976397268681
A2M|2	35519.107947588	-0.134464922254841	0.17483877925781	-0.769079507564881	0.441846112616502	0.720985900365591
A4GALT|53947	835.781687310204	0.0661962456585932	0.188174091910111	0.351781932287546	0.725001809512908	0.891273082473725
A4GNT|51146	1.79604452132617	-0.323736061065594	0.326301476586549	-0.992137897910263	0.321130261637908	0.625921493814525
AAAS|8086	1954.1437055487	0.00212510664673363	0.0732272982395379	0.0290206889756068	0.976848090126023	0.992332572093169
AACSL|729522	6.20598618029746	-0.798723780700531	0.572580392246021	-1.39495482471454	0.163029462811819	0.464136670865293
AACS|65985	2890.21805049342	0.0119581007289857	0.130733492824954	0.0914692973513456	0.927119701107268	0.975913586833916
AADACL3|126767	0.649475038420902	1.31626915993865	0.774761063201794	1.69893561054683	0.0893313164165368	0.351684521884474
AADAC|13	7.735390691988	0.875655733460118	0.577753726699243	1.51562109077654	0.12961519090896	0.417084841066358
AADAT|51166	206.413086099844	-0.0676936960425358	0.262487053007486	-0.257893466618352	0.796489127239853	0.923761647306149
AAGAB|79719	4669.00969809819	0.167878168521604	0.105190401407253	1.59594569728516	0.1105009177185	0.388028461862693
AAK1|22848	2547.0579543634	-0.0556189836345729	0.0941627129902025	-0.590668873786166	0.554742307368225	0.797087497695068
AAMP|14	6782.47932845144	0.0258910209837297	0.090469062123348	0.286186463925415	0.774735310598436	0.914445683564308
AANAT|15	1.09356069454897	-0.292591202386401	0.447845855183413	-0.653330155900565	0.513543455417048	0.772192742564823
AARS2|57505	1350.96352784477	-0.0627561828695639	0.114687362357807	-0.547193531871228	0.584245779423581	0.814618230411554
