baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
?|100133144	19.3973552996283	-0.057868100872159	0.496284943027266	-0.116602572141665	0.90717499935724	0.990048413476005
?|100134869	20.6701693543629	0.281259231253061	0.375490125195524	0.749045613667215	0.453829713333611	0.891435953694223
?|10357	311.354320153364	-0.0239010133835477	0.219883916653602	-0.10869832476743	0.913441770625137	0.990513165116608
?|10431	2378.40349537251	-0.130946112451746	0.165254459075537	-0.792390796498208	0.428132844161356	0.881023360355717
?|155060	493.848611298663	0.10611934940625	0.306663549216287	0.346044874512963	0.72930899063203	0.9613069048274
?|26823	0.730041227605524	0.370084139624665	0.807701134687842	0.4581944035125	0.646812780264242	0.947709336825736
?|280660	0.874752292784919	-2.42580912430819	4.54302179125813	-0.533963787929883	0.593366588051607	0.93329184967003
?|340602	5.32568829538969	-2.98440041377968	1.42496719059683	-2.09436430078767	0.0362275403518985	0.480178822931241
?|388795	7.26788198880155	-0.949347492025491	0.766213420913751	-1.23901182896711	0.215341117438051	0.76526144429429
?|390284	8.64475583514467	-0.390769807783912	0.317238469636141	-1.23178569179238	0.21802914952499	0.766839353941374
?|391343	0.732152574570692	-1.86264150280314	1.70326028852703	-1.09357419729074	0.274141770950047	0.809430395704551
?|553137	6.25360617180848	-2.09482993982257	1.48849306911886	-1.40734947530702	0.159323785267511	0.713608623588347
?|57714	1109.3811513686	0.11394089957885	0.37908975699872	0.300564437511918	0.763746652915496	0.967879716683127
?|645851	33.5936791618957	-0.272260900381215	0.458928957792123	-0.593252824339184	0.553011965340011	0.920425052390443
?|652919	10.7126159079305	1.51790151703109	1.40497545803893	1.08037582318326	0.279974857447675	0.814170327096761
?|653553	3097.57977076413	-0.883497959363422	0.33416536031135	-2.64389450342862	0.00819581961037452	0.299435667217024
?|728788	0.867705593798097	-0.0738435042023065	0.979995605474557	-0.0753508523811678	0.939935562098918	0.994240460487658
?|729884	772.368745682115	-0.760635132744262	0.839661513077886	-0.905883050368781	0.364997756574329	0.856027310758739
?|8225	1782.29060200398	-0.213993275723772	0.225005749612212	-0.951056922290122	0.341575480882298	0.843348852441234
?|90288	8.39113300142083	0.220209481022189	0.534221836897986	0.412206064620754	0.680188392397553	0.955709777709562
A1BG|1	161.211281783191	-1.11781463608445	0.520796895454681	-2.14635426178672	0.0318447254970385	0.464273252347627
A1CF|29974	0.488829221892702	-0.731987356882088	1.55898166280616	-0.469529164034243	0.638691443837674	0.945772590894048
A2BP1|54715	1.23944946600328	-2.05883622569347	1.40423408712833	-1.4661631166523	0.142603854114551	0.697369689075686
A2LD1|87769	226.828257360058	0.739790257702978	0.283698687179485	2.60766190022918	0.00911629484443666	0.309313764983333
A2ML1|144568	3290.0960093501	-1.33093877237695	0.864289653417039	-1.53992213966113	0.123579333414146	0.672876268105621
A2M|2	23396.4123257978	0.807898823136102	0.435897763389402	1.85341355471554	0.0638231059862595	0.565555933795216
A4GALT|53947	1896.621687383	0.0648867938515345	0.368970594528676	0.175858983923695	0.860404729171364	0.982508542525949
A4GNT|51146	1.70712474556098	-0.0989609200434046	0.804121076396816	-0.12306718844734	0.902053893554731	0.989695772478281
AAA1|404744	0.512345631787432	-0.217256334754004	1.39102407425937	-0.156184453435631	0.875887630709859	0.985130504483393
AAAS|8086	1789.07001445344	-0.231141775055359	0.163385535463816	-1.41470157929952	0.157156011148114	0.712654820436755
AACSL|729522	9.40719331528966	-2.93074607858861	1.09380285404051	-2.67940979287303	0.00737520723009218	0.294558096579993
AACS|65985	1611.95724368051	-0.228931358084853	0.222581046096741	-1.02853033580115	0.303700428593297	0.825265063860181
AADACL2|344752	12.3810613899038	-3.23382562499261	1.345374696764	-2.40366169571262	0.0162317868346689	0.380307740979739
AADACL3|126767	0.853892043003644	-2.39517009521376	3.20388711108952	-0.747582549623372	0.454711993629641	0.891435953694223
AADAC|13	286.306625535117	-1.91552529417451	0.933947304318524	-2.05099932867435	0.0402670121223337	0.498871774736633
AADAT|51166	413.097648397467	-0.46385782146047	0.369560605957418	-1.25516035525149	0.209420554038287	0.760698159666882
AAGAB|79719	2483.83805689183	-0.0317845099879213	0.132963712885604	-0.239046498462835	0.811069527153346	0.977376454902653
AAK1|22848	2206.05275270119	0.156708114611856	0.180753831630256	0.866969807491622	0.385958552827609	0.862249415380344
AAMP|14	5616.20334510909	0.0846108057441561	0.136396686326393	0.620328895246656	0.535041274937702	0.915122099744465
AANAT|15	1.42760562716439	-0.0119230579704736	0.664033437439394	-0.0179555084100141	0.985674346828191	0.998367177532776
AARS2|57505	1218.05601829394	-0.279024104629191	0.188810639080001	-1.4777986345937	0.139461683965955	0.693301745198176
AARSD1|80755	1529.46802888966	-0.309023190163611	0.205938551803839	-1.50056017902836	0.133469357410474	0.686460497086176
AARS|16	6197.99059234395	-0.30952381810184	0.194342528093461	-1.5926715636476	0.111233890014906	0.654392513902413
AASDHPPT|60496	1524.99065619192	-0.358031525037179	0.177016623688644	-2.022587017968	0.0431157437570389	0.50923517203223
